id,name,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFGJ7PUB,联安电子,山东省,370000,济宁市,537,任城区,370811,[],公司企业;公司企业;公司企业,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b8c4f0f3ab1b72c69bea69d228e279dc'}]",2022-09-02T07:27:50,116.586617,35.433233,116.581324,35.43366601,公司企业,公司企业,公司企业
B0HU4MIFD8,清华新能源汽车,山东省,370000,济宁市,537,任城区,370811,18612346222,公司企业;公司;公司,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a8e2d6eb056064df40caf11736364703'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/003f86f989d19f3870827e0a9f73bbc5'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9424f9b782404719f1597d95930fcc9e'}]",2022-09-02T07:19:30,116.544712,35.424379,116.5393561,35.42476074,公司企业,公司,公司
B0FFGJ78CQ,文卿商贸有限公司,山东省,370000,济宁市,537,任城区,370811,[],公司企业;公司;公司,[],2022-09-02T06:50:07,116.582527,35.40052,116.5772352,35.40097733,公司企业,公司,公司
B0ID7RS0ZH,亿高装饰美·素设计工作室,山东省,370000,济宁市,537,梁山县,370832,[],公司企业;公司;广告装饰,[],2022-09-02T06:49:37,116.081184,35.784025,116.0753447,35.78390671,公司企业,公司,广告装饰
B0ID0A4Q3A,智华佳谊,山东省,370000,济宁市,537,汶上县,370830,[],公司企业;公司;公司,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e438ebdce4bdd9367ae1c46cbeb06efb'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6ddde47ba51641db9079cbbe444bfbaf'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2744c626e42bb4fb81a85a967c1c6c1e'}]",2022-09-02T05:52:18,116.510336,35.706266,116.5048437,35.7063808,公司企业,公司,公司
B0HR0GREVF,农信通光伏发电(金祥新天地商业街店),山东省,370000,济宁市,537,嘉祥县,370829,[],公司企业;公司;公司,[],2022-09-02T05:21:55,116.363129,35.408974,116.35744,35.4090936,公司企业,公司,公司
B0IDLCDIBF,瑞特莱纳环境科技有限公司,山东省,370000,济宁市,537,嘉祥县,370829,17562766000;15554772999,公司企业;公司;公司,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/fee7c2d8b880e5602cf481d976ba7071'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6623bce8e3d3b8a4cd09db4f9296c445'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/fab987de14c446095662e16948dc0c7b'}]",2022-09-02T05:10:56,116.438161,35.420068,116.4324739,35.42017622,公司企业,公司,公司
B0FFH309SE,舒雅奇沙发厂,山东省,370000,济宁市,537,梁山县,370832,[],公司企业;公司;冶金化工,[],2022-09-02T04:52:31,116.079469,35.813309,116.0736274,35.81318182,公司企业,公司,冶金化工
B0FFG4EZDJ,圣达石雕厂,山东省,370000,济宁市,537,曲阜市,370881,[],公司企业;工厂;工厂,[],2022-09-02T04:42:03,117.067256,35.52199,117.0612983,35.52200241,公司企业,工厂,工厂
B0H6YRAERE,润华雪佛兰(济宁高新区店),山东省,370000,济宁市,537,任城区,370811,0537-2988666,公司企业;公司;公司,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4e501ebdb6074314e622ec708f25c3c4'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5e8c420810ede1d3ca658962205c431f'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e8d6f0cc5e6bc9333b7c6be8811e4cce'}]",2022-09-02T04:35:27,116.674665,35.438982,116.6692312,35.43931556,公司企业,公司,公司
B0IUKZHAQI,邹城进口货物集中监管仓,山东省,370000,济宁市,537,邹城市,370883,[],公司企业;公司;公司,[],2022-09-02T03:54:05,117.101445,35.300023,117.0954666,35.30019625,公司企业,公司,公司
