,id,name,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
0,B0FFFONQY5,曲阜圣城旅社,山东省,370000,济宁市,537,曲阜市,370881,0537-4417472,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/6082afce43d27125ab2864fa07b6f95e'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/c1fb3008a4cc1b60ba7a12f7b14e8960'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/2a23a4f137308199f407355a0d4bab56'}]",2022-09-02T07:06:05,116.995287,35.5951,116.9895817491688,35.59524583792778,住宿服务,旅馆招待所,旅馆招待所
1,B0IDSROGEZ,嘉祥青年主题酒店,山东省,370000,济宁市,537,嘉祥县,370829,0537-6975888,住宿服务;住宿服务相关;住宿服务相关,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/5cb964597691e98d309638b216d2d5da'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/205a0340a6739f98200b63c13db0e777'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/0f374aba99b967738bb4a74370119868'}]",2022-09-02T06:33:25,116.34252,35.395251,116.33687123278942,35.39541636659418,住宿服务,住宿服务相关,住宿服务相关
2,B0FFFVDFMN,曲阜圣门招待所,山东省,370000,济宁市,537,曲阜市,370881,15265766774,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/0ccc270c3c3935ebe149f0d7bd7bd2d4'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/65fd40b848b667bbba0bb400ffbcc3aa'}, {'provider': [], 'title': '其他', 'url': 'http://store.is.autonavi.com/showpic/cb43be4e1b470ec26a9e1b4d857ac42b'}]",2022-09-02T06:26:07,116.994653,35.602507,116.98894967322448,35.60265047618335,住宿服务,旅馆招待所,旅馆招待所
3,B0GKJRYH7A,曲阜爱筑客栈,山东省,370000,济宁市,537,曲阜市,370881,15853719765,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/58b800e445eaaecc3e65d0b300220106'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/645874449c000713bb839fc9432b144a'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/d9041c8a9b86273d353ed0a234d517d9'}]",2022-09-02T06:19:59,117.000676,35.604216,116.99494668210282,35.604340215465136,住宿服务,旅馆招待所,旅馆招待所
4,B02190YA4D,曲阜人家休闲居,山东省,370000,济宁市,537,曲阜市,370881,15854749880;15634516889,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/e29d4d3d92570859f196406e13571e5d'}, {'provider': [], 'title': '客房', 'url': 'http://store.is.autonavi.com/showpic/11d90f9de35df71eeb100d164e600aba'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/95d6bbf2acd75e5cda70202aed262d57'}]",2022-09-02T05:54:56,116.98853,35.593237,116.98285368838424,35.59340426594025,住宿服务,宾馆酒店,宾馆酒店
5,B0ID05J4BV,尚客优酒店(济宁华安店),山东省,370000,济宁市,537,任城区,370811,0537-2606666;13225476676,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/d7b618bd9e360763ceee3b0c64895af2'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f76a0749a1dc287cdbc7c5500dedc877'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/b6a14385588a2c9c61ca17adad1498d8'}]",2022-09-02T05:32:33,116.633059,35.4257,116.6277275320551,35.42611630554437,住宿服务,宾馆酒店,宾馆酒店
6,B0IDNZKHUJ,东顺大酒店,山东省,370000,济宁市,537,汶上县,370830,0537-3100888;18162055558,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/601b0fb703bee0f0a53c031f030e2126'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/9fe2a3e8cd5909cd4b4107b69979da2b'}, {'provider': [], 'title': '外观', 'url': 'http://store.is.autonavi.com/showpic/0ae8a051732c700a76b8d3d757bb523c'}]",2022-09-02T05:16:55,116.505688,35.713408,116.50017841121227,35.71350582280316,住宿服务,宾馆酒店,宾馆酒店
7,B0FFJYSOOS,梁山县广乐宾馆,山东省,370000,济宁市,537,梁山县,370832,0537-7706188;13964942041,住宿服务;住宿服务相关;住宿服务相关,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e51e0336a0fc63e3acc1610848b8e548'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/d776bc519715b2106d2edfb38ef2475b'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/74205c55e77a30d54454a019bcbf4534'}]",2022-09-02T05:12:51,116.208252,35.690284,116.20265117877842,35.69034951473464,住宿服务,住宿服务相关,住宿服务相关
8,B0FFFR4TIL,清风商务宾馆,山东省,370000,济宁市,537,梁山县,370832,0537-7709608,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': '酒店外观', 'url': 'http://store.is.autonavi.com/showpic/9e709521a4b852d5694e362a4ec348d7'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/213458127b6f734507eed28d16a562b2'}, {'provider': [], 'title': '客房', 'url': 'http://store.is.autonavi.com/showpic/efbc9efdd64fa32b44b75face4032c9d'}]",2022-09-02T04:58:30,116.193177,35.69508,116.1875416308978,35.69511979337077,住宿服务,宾馆酒店,宾馆酒店
9,B02190A8IZ,济宁嘉宾楼公寓,山东省,370000,济宁市,537,曲阜市,370881,13963739910,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'http://store.is.autonavi.com/showpic/95ce61039d050222a3f8c62ac62d010f'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e8af2c31bcbba070228968c5a1227774'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/1680833866b37fa55879cbb6448deb5f'}]",2022-09-02T04:39:07,116.989061,35.589108,116.98338288229031,35.589276107608995,住宿服务,宾馆酒店,宾馆酒店
