,id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
0,B0FFJ9E4WY,阳光花园-东区,红星西路96附近,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-02T07:08:52,116.569806,35.414052,116.5645004765339,35.414485964013,商务住宅,商务住宅相关,商务住宅相关
1,B0FFJRVY4N,阳光花园-西区,红星西路14号阳光花园,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1226a4a165fdbb2001c9bf0029bfcae3'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/972ed48571ac0cc5ef4207ef37da3813'}]",2022-09-02T05:00:07,116.567317,35.414286,116.56200798933304,35.41471656151968,商务住宅,商务住宅相关,商务住宅相关
2,B0FFLD64EP,阳光城市花园-沿街商业楼,吴泰闸路29号附近,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;楼宇;商务写字楼,[],2022-09-02T01:32:24,116.615097,35.425439,116.60979334796131,35.42587434213065,商务住宅,楼宇,商务写字楼
3,B0HANHO2C5,环宇金街,电化路与太白楼西路交叉口北380米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;住宅区;住宅小区,[],2022-09-02T01:00:25,116.550237,35.408775,116.54489612556873,35.40918119107855,商务住宅,住宅区,住宅小区
4,B0FFLJ3BYM,济宁国家高新区产学研基地A区2栋,国家高新区产学研基地A区2栋,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;产业园区;产业园区,[],2022-09-01T23:25:23,116.705105,35.42435,116.69959621899064,35.424641515453224,商务住宅,产业园区,产业园区
5,B0I26RJJKW,金景华府营销中心,新华路与永兴路交叉口东北60米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T19:39:29,116.558081,35.422786,116.55275541863472,35.423195453641355,商务住宅,商务住宅相关,商务住宅相关
6,B0I26RJYKU,小高层售楼中心,319省道西30米,山东省,370000,济宁市,537,嘉祥县,370829,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T19:39:17,116.280422,35.491282,116.27487891926368,35.491477571727714,商务住宅,商务住宅相关,商务住宅相关
7,B0I26RHUYK,沐子·里,大学东路与裕隆路交叉口北160米,山东省,370000,济宁市,537,曲阜市,370881,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T19:37:32,116.971996,35.592264,116.96638725915231,35.59247927886745,商务住宅,商务住宅相关,商务住宅相关
8,B0I26RIHUD,城建徐汇枫景营销中心,吉祥路与裕祥路交叉口西100米,山东省,370000,济宁市,537,嘉祥县,370829,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T19:37:21,116.38395,35.41511,116.3782342298749,35.41520114035688,商务住宅,商务住宅相关,商务住宅相关
9,B0FFIVWJ6Q,圣华苑生态社区售楼中心,半壁街与延恩西路交叉口西北50米,山东省,370000,济宁市,537,曲阜市,370881,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T19:28:18,116.989157,35.601969,116.98347711393994,35.602129331641926,商务住宅,商务住宅相关,商务住宅相关
10,B0FFFZ7L5R,凤凰城营销中心,万祥路与济安桥南路交叉口东南100米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;楼宇;楼宇相关|生活服务;生活服务场所;生活服务场所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6d71a503b027a470845ea20b43895d83'}]",2022-09-01T18:40:54,116.566258,35.386684,116.560950183143,35.38713620190412,商务住宅,楼宇,楼宇相关
11,B0I265DPS2,均和云谷·济宁创新谷科技园(建设中),同济路以西宁安大道以东任城大道以南,山东省,370000,济宁市,537,任城区,370811,0537-8958777,商务住宅;产业园区;产业园区,[],2022-09-01T14:27:12,116.666864,35.445317,116.66145036571102,35.445660526617864,商务住宅,产业园区,产业园区
12,B0FFGYKLD2,华城翠竹园,济邹路14号附近,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T12:23:39,116.614512,35.394922,116.60921206991546,35.39538291953755,商务住宅,商务住宅相关,商务住宅相关
13,B0IB2CVJXF,阳光城市花园B区,科苑路与吴泰闸路交叉口西北约160米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-09-01T00:36:22,116.615331,35.426187,116.61002700372204,35.42662156853684,商务住宅,商务住宅相关,商务住宅相关
14,B0FFJ141WW,华城宏河美地,济邹路东南华城,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/f1700334-abde-4246-923b-24e490587251.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/892ecdd4-3c83-4dea-b720-f01ff546d692.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/d1fcf715-6006-4997-92fc-c4f3c47a94f8.jpg'}]",2022-09-01T00:34:44,116.61616,35.394382,116.61085821957435,35.39484215834557,商务住宅,商务住宅相关,商务住宅相关
15,B0FFIRYGYK,文景园D区,济安桥南路66号附近,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7c8b162a4d64cd5bc3c37a0683be7de2'}]",2022-09-01T00:34:37,116.572519,35.385102,116.56721976861124,35.38556340498406,商务住宅,商务住宅相关,商务住宅相关
16,B0FFIIMCKN,银都花园祺祥花园,银都小区,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;住宅区;住宅区,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5e72fb918b06eed29b2589ddd24950bf'}]",2022-09-01T00:34:26,116.620577,35.410164,116.61526789811786,35.41060722781475,商务住宅,住宅区,住宅区
17,B0FFFZCSTF,东南华城北区,济邹路23号,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0472b942518d52d54a688c497e3cf26a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6a7b8204d8ad09b11c7575d53fb61d2b'}]",2022-09-01T00:33:47,116.616295,35.399701,116.61099252446058,35.40015658198463,商务住宅,商务住宅相关,商务住宅相关
18,B0FFHLSMWG,华城祥和园,东南华城(原五里营),山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a9e4b66b0456577a25572ec29806f1ce'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/09e670341d5af92968132a0b311f8c71'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/8a7cefc6999c5827fb4f50985e91c5ca'}]",2022-09-01T00:33:31,116.615914,35.39878,116.610612071218,35.39923664633409,商务住宅,商务住宅相关,商务住宅相关
19,B0FFGT0WVA,运河佳园怡居新城,运河佳园,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6ad524d502a5225847dfd886c0172eee'}]",2022-09-01T00:32:18,116.575208,35.385379,116.56991170052272,35.38584301501145,商务住宅,商务住宅相关,商务住宅相关
20,B0FFGMQDI8,华城和贵园,观音阁街道东南华城,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b143faa0f271b2fa44988a4db401d440'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/53507fd398a1afd9fa9c77ae9615cb37'}]",2022-09-01T00:32:10,116.616502,35.398607,116.61119938437616,35.39906333771378,商务住宅,商务住宅相关,商务住宅相关
21,B0FFG0I37B,杨柳国际新城K区,济宁市高新区,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/20380e8f278eefd40ed19f7d6787fb1a'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/051d9c58-3379-4b09-b4a4-1f1a89cd24fb.jpg'}]",2022-09-01T00:30:35,116.65535,35.434851,116.64996736267896,35.43522425406722,商务住宅,商务住宅相关,商务住宅相关
22,B0FFFGU009,火炬杨柳国际新城B区,北二路与杨桥街交叉口西240米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e99876431f3925f7aadd677e47970668'}]",2022-09-01T00:29:28,116.647441,35.435029,116.64207767200372,35.4354159559289,商务住宅,商务住宅相关,商务住宅相关
23,B0FFFGTX90,杨柳国际新城公寓,北一路东100米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ffc550eb8d4c7d15c070e2a5d0996b35'}]",2022-09-01T00:29:26,116.652893,35.43947,116.64751603566388,35.439844009133715,商务住宅,商务住宅相关,商务住宅相关
24,B0FFFGTPHR,居民楼东区,西路与火炬路交叉口西北约180米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;住宅区;住宅小区,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/568100c6a3104d32a8253ca2'}]",2022-09-01T00:29:25,116.621463,35.396529,116.61615400777494,35.3969827445524,商务住宅,住宅区,住宅小区
25,B0FFF01DUF,中都尚城1期,普陀山路附近,山东省,370000,济宁市,537,汶上县,370830,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e21da6e1fb9eac32b243a7ba92871b28'}]",2022-09-01T00:27:43,116.506456,35.702417,116.500950294502,35.70252199985837,商务住宅,商务住宅相关,商务住宅相关
26,B02190BG9X,杨柳国际新城G区,北二路,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/537ad63b9e173acfb41265cfee066a5d'}]",2022-09-01T00:22:14,116.652415,35.435096,116.64703966041417,35.43547431163572,商务住宅,商务住宅相关,商务住宅相关
27,B02190BG9Z,杨柳国际新城·尚品,杨柳国际新城,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8dde9252ca01aceb60fbe9f4a2cdd6a7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5684e775a310f9ed8809e888'}]",2022-09-01T00:22:13,116.656166,35.436112,116.65078117155689,35.43648277409981,商务住宅,商务住宅相关,商务住宅相关
28,B02190BG3H,银都花园怡景园,火炬路,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5680fd66a3104d32a8252246'}]",2022-09-01T00:22:13,116.621505,35.413265,116.6161942670978,35.41370479610591,商务住宅,商务住宅相关,商务住宅相关
29,B02190AK52,杨柳国际新城J区,济宁高新区,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4fad6b39d7edc4f8cae4ca1d6af795a3'}]",2022-09-01T00:22:11,116.654673,35.438671,116.64929167841088,35.43904245561361,商务住宅,商务住宅相关,商务住宅相关
30,B0FFIU14BY,齐鑫花园济矿宿舍,齐鑫路东150米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-08-30T14:44:38,116.615388,35.404175,116.61008614615596,35.40462753472506,商务住宅,商务住宅相关,商务住宅相关
31,B0FFIN9MCF,世纪城2期,圣华路与泉源大道交叉口西150米,山东省,370000,济宁市,537,泗水县,370831,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-08-30T13:06:15,117.245616,35.653659,117.23975088141265,35.653753584423576,商务住宅,商务住宅相关,商务住宅相关
32,B0FFKWPVZF,柳行办事安居小区,瑞园路与孟子大道交叉口西南200米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,[],2022-08-30T12:20:22,116.692596,35.408865,116.68711841983912,35.4091896335006,商务住宅,商务住宅相关,商务住宅相关
33,B0FFFGUE0V,杨柳国际新城H区,高新区柳行街道,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2af6f09cb9fc422b597533bbaab62e14'}]",2022-08-30T04:16:33,116.651548,35.436853,116.64617461369023,35.43723144778942,商务住宅,商务住宅相关,商务住宅相关
34,B0FFHMXANT,犁铧春秋·祥府,静轩西路,山东省,370000,济宁市,537,曲阜市,370881,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8b7b1f3f50f6b7316c029f6660ad751b'}]",2022-08-27T19:37:11,116.951358,35.588722,116.94582295285076,35.58898972730568,商务住宅,商务住宅相关,商务住宅相关
35,B0FFG71A78,中铁十四局集团五公司南宿舍,金谷路龙邦速递兖州分公司南100米路东,山东省,370000,济宁市,537,兖州区,370812,[],商务住宅;住宅区;宿舍,[],2022-08-26T15:12:12,116.827268,35.581131,116.8217556435526,35.58136662309955,商务住宅,住宅区,宿舍
36,B0FFI6FA8F,圣祥小镇双创孵化基地,嘉诚路附近,山东省,370000,济宁市,537,嘉祥县,370829,[],商务住宅;产业园区;产业园区,[],2022-08-25T19:08:49,116.444748,35.405444,116.43907625099096,35.40557545920206,商务住宅,产业园区,产业园区
37,B0FFF3VANQ,领秀庄园2期,吴泰闸路与建设北路交叉口东北140米,山东省,370000,济宁市,537,任城区,370811,[],商务住宅;商务住宅相关;商务住宅相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/671e125a225bad02748f8f63a447fdf7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4635f3ee8e455e6b07df85a612121342'}]",2022-08-25T15:15:39,116.597206,35.425495,116.59191464164392,35.42593684142754,商务住宅,商务住宅相关,商务住宅相关
